seq,ts_code,symbol,name,area,industry,market,list_date
2726,301339.SZ,301339,通行宝,江苏,软件服务,创业板,20220909
2727,301349.SZ,301349,信德新材,辽宁,化工原料,创业板,20220909
2728,301356.SZ,301356,天振股份,浙江,家居用品,创业板,20221114
2729,301358.SZ,301358,湖南裕能,湖南,电气设备,创业板,20230209
2730,301359.SZ,301359,东南电子,浙江,电气设备,创业板,20221109
2731,301361.SZ,301361,众智科技,河南,电气设备,创业板,20221116
2732,301363.SZ,301363,美好医疗,深圳,医疗保健,创业板,20221012
2733,301365.SZ,301365,矩阵股份,深圳,装修装饰,创业板,20221122
2734,301366.SZ,301366,一博科技,深圳,元器件,创业板,20220926
2735,301367.SZ,301367,怡和嘉业,北京,医疗保健,创业板,20221101
2736,301368.SZ,301368,丰立智能,浙江,机械基件,创业板,20221215
2737,301369.SZ,301369,联动科技,广东,半导体,创业板,20220922
2738,301373.SZ,301373,凌玮科技,广东,化工原料,创业板,20230208
2739,301377.SZ,301377,鼎泰高科,广东,机械基件,创业板,20221122
2740,301379.SZ,301379,天山电子,广西,元器件,创业板,20221101
2741,301380.SZ,301380,挖金客,北京,软件服务,创业板,20221025
2742,301388.SZ,301388,欣灵电气,浙江,电气设备,创业板,20221109
2743,301389.SZ,301389,隆扬电子,江苏,元器件,创业板,20221031
2744,301391.SZ,301391,卡莱特,深圳,IT设备,创业板,20221201
2745,301396.SZ,301396,宏景科技,广东,软件服务,创业板,20221111
2746,301398.SZ,301398,星源卓镁,浙江,汽车配件,创业板,20221215
2747,301408.SZ,301408,C华人,安徽,医药商业,创业板,20230301
2748,301419.SZ,301419,阿莱德,上海,元器件,创业板,20230209
2749,430047.BJ,430047,诺思兰德,,,北交所,20201124
2750,430090.BJ,430090,同辉信息,,,北交所,20210809
2751,430139.BJ,430139,华岭股份,,,北交所,20221028
2752,430198.BJ,430198,微创光电,,,北交所,20200727
2753,430300.BJ,430300,辰光医疗,,,北交所,20221207
2754,430418.BJ,430418,苏轴股份,,,北交所,20200727
2755,430425.BJ,430425,乐创技术,,,北交所,20230130
2756,430476.BJ,430476,海能技术,,,北交所,20221014
2757,430478.BJ,430478,峆一药业,,,北交所,20230223
2758,430489.BJ,430489,佳先股份,,,北交所,20200727
2759,430510.BJ,430510,丰光精密,,,北交所,20201228
2760,430564.BJ,430564,天润科技,,,北交所,20220617
2761,430685.BJ,430685,新芝生物,,,北交所,20221010
2762,430718.BJ,430718,合肥高科,,,北交所,20221222
2763,600000.SH,600000,浦发银行,上海,银行,主板,19991110
2764,600004.SH,600004,白云机场,广东,机场,主板,20030428
2765,600006.SH,600006,东风汽车,湖北,汽车整车,主板,19990727
2766,600007.SH,600007,中国国贸,北京,园区开发,主板,19990312
2767,600008.SH,600008,首创环保,北京,环境保护,主板,20000427
2768,600009.SH,600009,上海机场,上海,机场,主板,19980218
2769,600010.SH,600010,包钢股份,内蒙,普钢,主板,20010309
